name,price,regular_price,status,sku,brand,image,features
Epson Perfection V39 Flatbed RGB Color Image A4 Scanner,"18,500৳","19,250৳",In Stock,311,EPSON,https://www.startech.com.bd/image/cache/data/scanner/v39_fca-osr-nn_690x460-500x500.jpg,"[{'Max Document Size': '8.5"" x 11.7""'}, {'Scanner Resolution': '4800 dpi'}, {'Connectivity': 'Hi-Speed USB 2.0'}]"
TP-Link TL-WR841N 300Mbps Wireless Router,"1,649৳","1,814৳",In Stock,372,TP-Link,https://www.startech.com.bd/image/cache/catalog/router/tp-link/tl-wr850n/wr841n-500x500.jpg,"[{'Signal Rate': '11n: Up to 300Mbps(dynamic)\r\n11g: Up to 54Mbps(dynamic)\r\n11b: Up to 11Mbps(dynamic)'}, {'Warranty ': '01 Year Warranty'}, {'Interface': '4 10/100Mbps LAN PORTS\r\n1 10/100Mbps WAN PORT'}, {'Button': 'WPS/Reset Button\r\nWireless On/Off Switch\r\nPower On/Off Button'}, {'External Power Supply': '9VDC / 0.6A'}, {'Wireless Standards': 'IEEE 802.11n, IEEE 802.11g, IEEE 802.11b'}, {'Frequency': '2.4-2.4835GHz'}, {'EIRP': '<20dBm(EIRP)'}, {'Wireless Security': '64/128/152-bit WEP / WPA / WPA2,WPA-PSK / WPA2-PSK'}]"
TP-Link TL-MR3420 300Mbps 3G Wireless Router,"2,490৳","2,739৳",In Stock,373,TP-Link,https://www.startech.com.bd/image/cache/data/Router/3420-500x500.jpg,"[{'Interface': '1 USB 2.0 Port for LTE/HSPA+/HSUPA/HSDPA/UMTS/EVDO USB Modem\r\n1 10/100Mbps WAN Port, 4 10/100Mbps LAN Ports, support the auto-Negotiation and auto-MDI/MDIX'}, {'External Power Supply': '9VDC/0.85A'}, {'Antenna Type': 'Omni directional, Detachable, Reverse SMA'}, {'Wireless Standards': 'IEEE 802.11b, IEEE 802.11g, IEEE 802.11n'}, {'Frequency': '2.4-2.4835GHz'}, {'EIRP': '<20dBm'}, {'Wireless Security': 'Support 64/128 bit WEP, WPA-PSK/WPA2-PSK,\r\nWireless MAC Filtering'}]"
Asus DRW-24D5MT 24x DVDRW SATA,"1,700৳","1,850৳",In Stock,393,Asus,https://www.startech.com.bd/image/cache/data/rw/DRW-24D3ST_Banner_72dpi-500x500.jpg,"[{'Access time': 'DVD : 145 ms\r\nCD : 125 ms'}, {'Color': 'Black'}, {'Dimensions': '146 x 170 x 41 mm (WxDxH)'}, {'Disc Diameters': '12cm/8cm'}, {'Humidity': 'Operating : 20 % ~ 80 % (Non-condensing)\r\nStorage : 15 % ~ 90 % (Non-condensing)'}, {'Interface': 'SATA'}, {'Mounting Orientation': 'Vertical and Horizontal (+12° ~ -12°)'}, {'OS Support': 'Windows® 8\r\nWindows® 7\r\nWindows® Vista\r\nWindows® XP '}, {'Read Speed': 'DVD+R : 16X\r\nDVD-R : 16X\r\nDVD+RW : 13X\r\nDVD-RW : 8X\r\nDVD-ROM : 16X\r\nDVD+R(DL) : 12X\r\nDVD-R(DL) : 12X\r\nDVD-ROM(DL) : 12X\r\nDVD-RAM : 5X\r\nCD-R : 48X\r\nCD-RW : 40X\r\nCD-ROM : 48X\r\nDVD Video Playback : 6X\r\nVCD Playback : 24X\r\nAudio CD Playback : 10X'}, {'Software': 'Power2Go 8\r\nE-Green'}, {'System Requirements': 'CPU: Intel Pentium® 300 MHz or higher\r\nRAM: 128 MB or more is recommended\r\nHDD: 10GB or more'}, {'Temperature': 'Operating : 5 ℃ to 45 ℃\r\nStorage : -20 ℃ to 60 ℃'}, {'Weight': '700 g'}, {'Write Speed': 'DVD+R : 24X\r\nDVD-R : 24X\r\nDVD+RW : 8X\r\nDVD-RW : 6X\r\nDVD+R(DL) : 8X\r\nDVD-R (DL) : 8X\r\nDVD-RAM : 5X\r\nCD-R : 48X\r\nCD-RW : 24X'}, {'Warranty': '1 Year'}]"
Dell E1916HV 18.5 Inch LED Monitor (VGA),"10,300৳","10,700৳",In Stock,402,Dell,https://www.startech.com.bd/image/cache/catalog/monitor/dell/e1916hv/e1916hv-01-500x500.webp,"[{'Display Size': '18.5""'}, {'Display Type': 'LED'}, {'Panel Type': 'TN'}, {'Resolution': '1366 x 766'}, {'Pixel pitch(MM)': '0.30 x 0.30 mm '}, {'Display Surface': 'Anti-Glare'}, {'Aspect Ratio': '16:9'}, {'Viewing Angle': '90° (H) / 65° (V)'}, {'Brightness': '200 cd/m2'}, {'Contrast Ratio': '600:1'}, {'Refresh Rate': '60Hz'}, {'Color Support': '16.7 Million'}, {'Color Gamut': 'Color Space - 72% (CIE 1931) color gamut, 82% (CIE 1976)'}, {'Response Time': '5 ms'}, {'DVI': 'N/A'}, {'VGA': 'Port - 1'}, {'HDMI': 'N/A'}, {'Tilt': 'Yes'}, {'Pivot': 'N/A'}, {'Vesa Wall Mount': '100 x 100 mm'}, {'Color': 'Black'}, {'Dimension': '14.13"" x 17.54"" x 6.57"" w/ stand'}, {'Weight': '6.61 lbs. w/ stand\r\n4.98 lbs. w/o stand'}, {'Power Consumption': '14 W'}, {'Warranty': '03-Years'}]"
Western Digital 1TB Blue Desktop HDD ,"3,950৳","4,290৳",In Stock,407,WESTERN DIGITAL,https://www.startech.com.bd/image/cache/catalog/HDD/Western Digital/WD INT Blue 1TB-500x500.jpg,"[{'Buffer size': '64 MB'}, {'Formatted Capacity': '1,000,204 MB'}, {'Idle Mode': '29 dBA (average)'}, {'Interface type': 'SATA 6 Gb/s'}, {'Load/unload Cycles': '300,000 minimum'}, {'Operating Shock (Read)': '30G, 2 ms'}, {'Rotational speed': '7,200 RPM (nominal)'}, {'Seek Mode 0': '30 dBA (average)'}, {'Internal or External': 'Internal '}, {'Capacity (GB)': '1000 GB'}, {'RPM': '7200'}, {'Warranty': '02 Years'}]"
Toshiba 2TB Sata Desktop Hard Disk,To be announced,,Out Of Stock,410,Toshiba,https://www.startech.com.bd/image/cache/data/HARD DISK/DT01ACA100-unit-500x500.jpg,"[{'Buffer size': '32 MByte'}, {'Non-operating (Maximum)': '350 G, with 2 ms half sine wave '}, {'Supported interface standards': 'ATA-8\r\nSerial ATA 3.0 '}, {'Internal or External': 'Internal'}, {'Capacity (GB)': '2000 GB'}, {'RPM': '7200'}, {'Warranty': '02 Years'}]"
TwinMOS 4GB DDR3 1600MHz,To be announced,,Out Of Stock,417,Twinmos,https://www.startech.com.bd/image/cache/catalog/RAM/TwinMOS/TwinMOS 4GB DDR3 1600MHz-500x500.jpg,
ADATA 4GB DDR3 1600 BUS,To be announced,,Out Of Stock,519,ADATA,https://www.startech.com.bd/image/cache/catalog/ram/adata/4gb-ddr3/4gb-ddr3-1-500x500.jpg,
Tenda W 316R Router,To be announced,,Out Of Stock,552,Tenda,https://www.startech.com.bd/image/cache/data/Router/201212111533596853-500x500.jpg,"[{'LED': 'Power, SYS, WLAN, WPS, WAN, LAN(1-4)'}, {'Wireless Speed': ' Up to 150Mbps'}, {'Interface': '1*10/100M WAN Port (Auto MDI/MDIX)\r\n4*10/100M LAN Ports (Auto MDI/MDIX)'}, {'Button': '1* WPS; 1* Reset'}, {'External Power Supply': 'Input: 100-240V～50/60Hz 0.3A;\r\nOutput: DC 9V==600mA'}, {'Wireless Standards': 'Wireless Radio: Enable/Disable;\r\nSSID Broadcast: Enable/Disable;\r\nChannel: 1-11'}, {'Frequency': '2.4GHZ'}, {'Wireless Security': 'Wireless Security: Enable/Disable;\r\n64-/128- bit WEP,\r\nWPA-PSK, WPA2-PSK; WPS;\r\nWireless Access Control (Wireless MAC filter);'}]"
Tenda W300D ADSL2/ADSL2+ Router,To be announced,,Out Of Stock,554,Tenda,https://www.startech.com.bd/image/cache/data/Router/Tenda_W300D-500x500.jpg,"[{'LED': 'POWER, ADSL, WLAN, LAN, SYS, WAN'}, {'Transmission Media': 'Cat.5\r\nCat.5e\r\nCat.6\r\nTelephone Line '}, {'Wireless Speed': '300Mbps'}, {'Interface': '1* RJ11 port\r\n3*10/100Mbps auto-negotiation (Auto MDI/MDIX) LAN ports;\r\n1*10/100Mbps auto-negotiation WAN/LAN Interchangeable port (Auto MDI/MDIX)'}, {'Button': '1* Power\r\n1* Reset'}, {'External Power Supply': 'Input: 100-240V 50/60MHz\r\nOutput: 9V DC-1A'}, {'Wireless Standards': 'IEEE 802.11n, IEEE 802.11g, IEEE 802.11b\r\nIEEE 802.3, IEEE 802.3u\r\nANSI T1.413, ITU G.992.1, ITU G.992.2, ITU G.992.3, ITU G.992.5'}, {'Frequency': '2.4GHZ'}, {'Wireless Security': ' Wireless Access Control (Wireless MAC filter)\r\nWireless Security: On/Off\r\n64-/128-bit WEP\r\nWPA-PSK/WPA2-PSK'}]"
